2022-05-21 13:02:32+00:00,"b'Mendag konsisten jadi orang kepercayaan masyarakat, ikut AEM special meeting, dan suguhkan kuliner nusantara untuk menteri ASEAN #DukungMendagLutfi https://t.co/8iGRlYuPfz'",NarissaCellia
2022-05-21 12:17:45+00:00,"b'Mumpung masih dalam momen Lebaran, Mbak Puan pun merekomendasikan kuliner nusantara favoritnya kepada masyarakat. https://t.co/yjb5cQJmiP Puan Peduli Melayani'",uey jajahng
2022-05-21 12:17:36+00:00,b'Ada sejumlah kuliner nusantara favoritnya Mbak Puan Maharani. Mungkin Anda sudah pernah mencoba. https://t.co/sfP6ii3HUr Puan Peduli Melayani',uey jajahng
2022-05-21 12:09:07+00:00,"b'Kuliner Arab merupakan bagian dari akulturasi budaya Arab-Indonesia\nSeperti halnya kuliner cina yang mempengaruhi kuliner nusantara,'",Abi Branding
2022-05-21 12:01:30+00:00,"b'Mendag konsisten jadi orang kepercayaan masyarakat, ikut AEM special meeting, dan suguhkan kuliner nusantara untuk menteri ASEAN #DukungMendagLutfi https://t.co/jPDMnwtSGs'",WidyaAluna
2022-05-21 12:01:10+00:00,"b'Mendag konsisten jadi orang kepercayaan masyarakat, ikut AEM special meeting, dan suguhkan kuliner nusantara untuk menteri ASEAN #DukungMendagLutfi https://t.co/E91ZRlOAD7'",Aisha Fredellia
2022-05-21 11:11:06+00:00,b'sumpah kalo drimis ke sarinah kayanya seru juga deh kan disitu ada sejarah mall nya sm baru buka kuliner nusantara nya jg aaaa pasti mereka bakal sukaaa tp pasti bakal ruame bangat wkwkwkw',belle
2022-05-21 11:08:36+00:00,"b'RT @PantasPangarib: Jelajahi Aksi Seru di Aplikasi Desa Wisata Nusantara dengan Wisata Alam, Kuliner, Agrowisata, Religi, Pantai, Gunung ya\xe2\x80\xa6'",Anis Tukan
2022-05-21 09:26:30+00:00,"b'Mumpung masih dalam momen Lebaran, Mbak Puan pun merekomendasikan kuliner nusantara favoritnya kepada masyarakat. https://t.co/lj9NqVMvzw Puan Peduli Melayani'",Anwar
2022-05-21 09:25:54+00:00,b'Ada sejumlah kuliner nusantara favoritnya Mbak Puan Maharani. Mungkin Anda sudah pernah mencoba. https://t.co/p4YQbkNAoB Puan Peduli Melayani',Anwar
2022-05-21 09:13:40+00:00,"b'Yuks berwisata kuliner ke desa Banjar Suri, Sidomulyo-LamSel\nLezat nyo.. \n#DesaWisataNusantara\n@halimiskandarnu \n@taufikmadjid71 \n@malik_haramain \n@fachrilabalado \n@kemendespdtt \n@cik_mashuri \n@reka_putra\n@Ibnuwalidin_lpg\n@EdyBerdesa\n\nhttps://t.co/0XUztJcisq https://t.co/rhQBY6ncp6'",Atun Hermawati
2022-05-21 08:59:54+00:00,"b'Noodle Lovers, buat kamu pecinta kuliner nusantara, wajib banget cobain Mi Lontong Kikil Surabaya satu ini \xf0\x9f\x98\x8d Eits, nggak perlu ke Surabaya, kamu bisa banget bikin sendiri di rumah! \xf0\x9f\x98\x83 Yuk, catat resepnya berikut! :D https://t.co/OD2pAgoayh'",Mi Burung Dara
