2022-07-24 10:19:19+00:00,b'RT @GanjaranApps: Program \xe2\x80\x9cGubernur Mengajar\xe2\x80\x9d yaitu program blusukan @ganjar_pranowo  ke sekolah-sekolah untuk mengajar kepada siswa-siswi\xe2\x80\xa6',ined1
2022-07-24 10:19:14+00:00,b'RT @Hate_Fiona: Gubernur Jawa Tengah\xc2\xa0Ganjar Pranowo\xc2\xa0angkat suara ihwal penghargaan gubernur perusak lingkungan dari\xc2\xa0warga Desa Wadas. Ganja\xe2\x80\xa6',Riest
2022-07-24 10:18:20+00:00,b'RT @Aryadwi30: Berdasarkan survei yang dilakukan ARSC @airlangga_hrt dan Ganjar Pranowo mengungguli 2 pesaingnya dalam bursa Capres-Cawapre\xe2\x80\xa6',Nicol45
2022-07-24 10:18:07+00:00,"b'RT @Hate_Fiona: Gubernur Jawa Tengah Ganjar Pranowo meminta seluruh daerah menggenjot vaksinasi\xc2\xa0booster. Ditargetkan, dalam waktu tiga bula\xe2\x80\xa6'",Anging Mamiri 🇮🇩
2022-07-24 10:18:00+00:00,b'RT @Urrangawak: Relawan Sahabat Ganjar mendatangi ratusan emak-emak militan Kota Cirebon yang semangat mendukung Ganjar Pranowo untuk maju\xe2\x80\xa6',Riest
2022-07-24 10:17:28+00:00,b'RT @MARQUEZ__93: Mari Kita Doakan Semoga Allah SWT Merestui Ganjar Pranowo Memimpin Bangsa Indonesia  2024/2034 \xf0\x9f\x87\xae\xf0\x9f\x87\xa9\nSurvei PRC: Elektabilita\xe2\x80\xa6',NANo80
2022-07-24 10:17:19+00:00,b'RT @Urrangawak: Kini giliran Komunitas Tukang Parkir bersama Sahabat Ganjar berikan dukungan penuh kepada Ganjar Pranowo untuk maju di tahu\xe2\x80\xa6',Riest
2022-07-24 10:17:09+00:00,"b'RT @Hate_Fiona: Gubernur Jawa Tengah Ganjar Pranowo meminta seluruh daerah menggenjot vaksinasi\xc2\xa0booster. Ditargetkan, dalam waktu tiga bula\xe2\x80\xa6'",Riest
2022-07-24 10:16:43+00:00,b'RT @bwinarso99: Gak akan pilih Puan dan PDIP.. tetep Ganjar Pranowo \xf0\x9f\x91\x8d https://t.co/ylpBI0djYI',🇮🇩IDJO
2022-07-24 10:15:57+00:00,b'RT @MARQUEZ__93: Mari Kita Doakan Semoga Allah SWT Merestui Ganjar Pranowo Memimpin Bangsa Indonesia  2024/2034 \xf0\x9f\x87\xae\xf0\x9f\x87\xa9\nSurvei PRC: Elektabilita\xe2\x80\xa6',Supri Ag.
2022-07-24 10:15:00+00:00,b'RT @Wadas_Melawan: *Surat Ketetapan Rakyat Jawa Tengah*\n\n*Perihal: Penghargaan Kepada Ganjar Pranowo sebagai Gubernur Perusak Lingkungan*\xe2\x80\xa6',Indramajid
